
13, 0.149007, 0.374713, 1
37, 0.820217, 0.724745, 0
41, 0.269824, 0.488095, 1
51, 0.017664, 0.133872, 1
58, 0.124237, 0.793409, 1
70, 0.789059, 0.251846, 1
76, 0.792626, 0.599894, 1
83, 0.234329, 0.929636, 1
91, 0.916402, 0.669535, 0
101, 0.003513, 0.439547, 1
107, 0.910447, 0.049745, 1
115, 0.422856, 0.978554, 0
126, 0.950846, 0.879837, 0
131, 0.521839, 0.453177, 1
138, 0.077667, 0.367456, 1
144, 0.294024, 0.932251, 1
151, 0.388763, 0.172353, 1
160, 0.454823, 0.057391, 1
168, 0.582069, 0.143530, 1
175, 0.806343, 0.865061, 0
182, 0.492841, 0.511260, 1
188, 0.151104, 0.484022, 1
195, 0.792691, 0.776525, 0
207, 0.696017, 0.238509, 1
215, 0.550433, 0.293485, 1
225, 0.857727, 0.918827, 0
233, 0.609408, 0.475121, 1
238, 0.666948, 0.468959, 1
244, 0.614917, 0.106985, 1
257, 0.598644, 0.959607, 0
267, 0.158201, 0.843718, 1
279, 0.259979, 0.758140, 1
282, 0.422202, 0.118754, 1
287, 0.468034, 0.817884, 1
291, 0.744368, 0.986705, 0
295, 0.894565, 0.876419, 0
299, 0.712346, 0.543151, 1
307, 0.777687, 0.717150, 0
318, 0.882114, 0.632930, 0
325, 0.120562, 0.827975, 1
331, 0.063086, 0.907453, 1
339, 0.209592, 0.204458, 1
346, 0.843578, 0.800374, 0
353, 0.756147, 0.376307, 1
362, 0.323777, 0.004648, 1
372, 0.306118, 0.274730, 1
377, 0.068617, 0.588890, 1
382, 0.461036, 0.916884, 0
398, 0.139119, 0.744959, 1
405, 0.459120, 0.283400, 1
408, 0.760631, 0.799164, 0
416, 0.888129, 0.557349, 0
425, 0.950982, 0.536337, 0
429, 0.623025, 0.761302, 1
437, 0.335336, 0.774915, 1
447, 0.158388, 0.578697, 1
456, 0.506469, 0.887908, 0
463, 0.536616, 0.275005, 1
466, 0.804801, 0.502628, 1
473, 0.088437, 0.331028, 1
478, 0.338944, 0.053279, 1
481, 0.137536, 0.529335, 1
485, 0.701080, 0.800122, 0
498, 0.695265, 0.597195, 1
501, 0.913236, 0.973540, 0
510, 0.764539, 0.940776, 0
514, 0.577018, 0.785270, 1
